ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011811226,2024-02-05,r1,577249000.0,102.54,6.2,1095,102.51,102.34,591738.0,2028-04-30,DELEK GRP B36,102.4,1181122,Bonds,DLKG.B36,53.0,2714.84,2650551.0,True,,
IL0011928897,2024-02-05,r1,1750000000.0,104.65,6.75,1095,104.47,104.41,1828225.0,2029-01-31,DELEK GRP B37,104.46,1192889,Bonds,DLKG.B37,196.0,1700.13,1626191.0,True,,
IL0011995045,2024-02-05,r1,1331891000.0,107.17,6.52,1095,106.92,106.66,1424058.0,2031-10-31,DELEK GRP B38,106.97,1199504,Bonds,DLKG.B38,221.0,2424.25,2265080.0,True,,
IL0011961799,2024-02-05,r1,418215000.0,105.41,4.4,2387,105.25,105.14,440171.0,2030-09-30,DELEK PROP B1,105.29,1196179,Bonds,DLPR.B1,97.0,517.99,491933.0,True,,
IL0011736993,2024-02-05,r1,25000000.0,4411.0,,1858,4357.0,4325.0,1089250.0,,DELTA BRANDS,4346.0,1173699,Shares,DLTI,89.0,106.0,2433.0,True,,
IL0006270347,2024-02-05,r1,25724134.0,17110.0,,627,17060.0,16650.0,4388537.0,,DELTA GALIL,16710.0,627034,Shares,DELG,579.0,1755.55,10382.0,True,,
IL0062701441,2024-02-05,r1,278968681.0,103.51,5.0,627,103.37,103.3,288370.0,2028-08-31,DELTA GALIL B1,103.47,6270144,Bonds,DELG.B1,79.0,234.86,227114.0,True,,
IL0062701938,2024-02-05,r1,164708662.0,99.89,3.85,627,99.26,99.0,163490.0,2026-12-31,DELTA GALIL B6,99.09,6270193,Bonds,DELG.B6,41.0,190.03,191191.0,True,,
IL0010903156,2024-02-05,r1,19176091.0,26370.0,,1193,26300.0,26000.0,5043312.0,,DIMRI,26000.0,1090315,Shares,DIMRI,517.0,4094.36,15570.0,True,,
IL0011411910,2024-02-05,r1,67123500.0,98.97,3.05,1193,98.97,98.97,66432.0,2025-06-30,DIMRI        B7,98.91,1141191,Bonds,DIR.B7,1.0,5.05,5100.0,True,,
